simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
138.3670163939,ENQUEUE_FWD,0,1001,1000,6,17,16777215,BCAST
138.3670163949,TX_FWD_ACK,0,1001,1000,6,17,16777215,BCAST
138.367016466,ENQUEUE_FWD,0,1001,1000,12,17,16777215,BCAST
138.4266600525,RX_DST_PRE,1,1000,1001,1001,19,16777215,BCAST
138.4266600525,DELIVERED,1,1000,1001,1001,19,16777215,BCAST
138.4266600525,TX_ACK,1,1001,1000,1001,20,16777215,BCAST
138.4266652123,ENQUEUE_FWD,1,1000,1001,18,18,16777215,BCAST
138.4266652133,TX_FWD_DATA,0,1000,1001,18,8,16777215,BCAST
138.4266718486,TX_FWD_DATA,1,1000,1001,47,17,16777215,BCAST
138.4266728684,ENQUEUE_FWD,0,1001,1000,5,16,16777215,BCAST
138.4266728694,TX_FWD_ACK,0,1001,1000,5,16,16777215,BCAST
138.4863112846,ENQUEUE_FWD,1,1001,1000,19,19,16777215,BCAST
138.4863139146,ENQUEUE_FWD,1,1001,1000,20,19,16777215,BCAST
138.4863152969,ENQUEUE_FWD,1,1001,1000,12,19,16777215,BCAST
138.4863216911,TX_FWD_DATA,0,1000,1001,11,9,16777215,BCAST
138.486327995,ENQUEUE_FWD,1,1000,1001,46,16,16777215,BCAST
138.4863283996,TX_FWD_ACK,0,1001,1000,25,17,16777215,BCAST
138.4863284138,ENQUEUE_FWD,1,1000,1001,48,16,16777215,BCAST
138.4863290919,ENQUEUE_FWD,0,1001,1000,4,15,16777215,BCAST
138.4863290929,TX_FWD_ACK,0,1001,1000,4,15,16777215,BCAST
138.4863291426,TX_FWD_ACK,0,1001,1000,12,17,16777215,BCAST
138.5459846224,ENQUEUE_FWD,0,1001,1000,32,16,16777215,BCAST
138.5459849481,ENQUEUE_FWD,0,1001,1000,24,16,16777215,BCAST
138.545985606,ENQUEUE_FWD,0,1001,1000,3,14,16777215,BCAST
138.7846099892,TX_FWD_DATA,1,1000,1001,46,16,16777215,BCAST
138.8442659559,TX_FWD_ACK,0,1001,1000,3,14,16777215,BCAST
138.8442662668,ENQUEUE_FWD,1,1000,1001,45,15,16777215,BCAST
138.8442664856,TX_FWD_DATA,1,1000,1001,39,17,16777215,BCAST
138.9039220987,ENQUEUE_FWD,0,1001,1000,10,13,16777215,BCAST
138.9039223683,ENQUEUE_FWD,0,1001,1000,2,13,16777215,BCAST
138.9039223693,TX_FWD_ACK,0,1001,1000,2,13,16777215,BCAST
138.9039227315,ENQUEUE_FWD,1,1000,1001,32,16,16777215,BCAST
138.9039228696,ENQUEUE_FWD,1,1000,1001,38,16,16777215,BCAST
138.9635784695,ENQUEUE_FWD,0,1001,1000,1,12,16777215,BCAST
138.9635786491,ENQUEUE_FWD,0,1001,1000,9,12,16777215,BCAST
139.3073589537,TX_FWD_ACK,0,1001,1000,32,16,16777215,BCAST
139.3073589776,TX_FWD_DATA,1,1000,1001,41,17,16777215,BCAST
139.3670151996,ENQUEUE_FWD,0,1001,1000,39,15,16777215,BCAST
139.3670152834,TX_FWD_DATA,1,1000,1001,48,16,16777215,BCAST
139.3670154965,ENQUEUE_FWD,0,1001,1000,31,15,16777215,BCAST
139.3670154975,TX_FWD_ACK,0,1001,1000,31,15,16777215,BCAST
139.4266715536,ENQUEUE_FWD,0,1001,1000,38,14,16777215,BCAST
139.4266715546,TX_FWD_DATA,1,1000,1001,38,16,16777215,BCAST
139.4266716973,ENQUEUE_FWD,0,1001,1000,30,14,16777215,BCAST
139.4266716983,TX_FWD_ACK,0,1001,1000,30,14,16777215,BCAST
139.4266718511,TX_FWD_ACK,0,1001,1000,24,16,16777215,BCAST
139.4863279648,ENQUEUE_FWD,0,1001,1000,37,13,16777215,BCAST
139.4863281562,ENQUEUE_FWD,0,1001,1000,23,13,16777215,BCAST
139.4863282979,ENQUEUE_FWD,0,1001,1000,17,15,16777215,BCAST
139.6056409785,TX_FWD_ACK,0,1001,1000,23,13,16777215,BCAST
139.6652974925,ENQUEUE_FWD,0,1001,1000,16,12,16777215,BCAST
139.6652975413,ENQUEUE_FWD,0,1001,1000,22,12,16777215,BCAST
139.7249535227,TX_FWD_ACK,0,1001,1000,1,12,16777215,BCAST
139.7249535734,TX_FWD_ACK,0,1001,1000,37,13,16777215,BCAST
139.7249535863,TX_FWD_ACK,0,1001,1000,9,12,16777215,BCAST
139.7249537116,TX_FWD_DATA,1,1000,1001,45,15,16777215,BCAST
139.7846098131,TX_FWD_ACK,0,1001,1000,10,13,16777215,BCAST
139.7846098406,ENQUEUE_FWD,0,1001,1000,0,11,16777215,BCAST
139.7846098416,TX_FWD_ACK,0,1001,1000,0,11,16777215,BCAST
139.7846100913,ENQUEUE_FWD,0,1001,1000,36,12,16777215,BCAST
139.8442662619,TX_FWD_ACK,0,1001,1000,17,15,16777215,BCAST
139.8442663154,ENQUEUE_FWD,0,1001,1000,7,10,16777215,BCAST
139.8442663164,TX_FWD_ACK,0,1001,1000,7,10,16777215,BCAST
139.9039227718,TX_FWD_ACK,0,1001,1000,16,12,16777215,BCAST
139.9039227738,ENQUEUE_FWD,0,1001,1000,8,9,16777215,BCAST
139.9039228196,ENQUEUE_FWD,0,1001,1000,14,9,16777215,BCAST
139.963579019,ENQUEUE_FWD,0,1001,1000,15,11,16777215,BCAST
140.5459844157,TX_FWD_ACK,0,1001,1000,22,12,16777215,BCAST
140.5459844991,TX_FWD_ACK,0,1001,1000,36,12,16777215,BCAST
140.6056407233,ENQUEUE_FWD,0,1001,1000,35,11,16777215,BCAST
140.6056407628,ENQUEUE_FWD,0,1001,1000,43,11,16777215,BCAST
140.6056407638,TX_FWD_ACK,0,1001,1000,43,11,16777215,BCAST
140.6056407781,ENQUEUE_FWD,0,1001,1000,21,11,16777215,BCAST
140.6056407868,TX_FWD_ACK,0,1001,1000,15,11,16777215,BCAST
140.6056409141,ENQUEUE_FWD,0,1001,1000,29,11,16777215,BCAST
140.6652970379,TX_FWD_ACK,0,1001,1000,14,9,16777215,BCAST
140.665297086,ENQUEUE_FWD,0,1001,1000,42,10,16777215,BCAST
140.665297087,TX_FWD_ACK,0,1001,1000,42,10,16777215,BCAST
140.6652972604,TX_FWD_ACK,0,1001,1000,8,9,16777215,BCAST
140.6652972843,ENQUEUE_FWD,0,1001,1000,44,10,16777215,BCAST
140.6652972853,TX_FWD_ACK,0,1001,1000,44,10,16777215,BCAST
140.7249532686,TX_FWD_ACK,0,1001,1000,21,11,16777215,BCAST
140.7249533237,TX_FWD_ACK,0,1001,1000,35,11,16777215,BCAST
140.7249536014,ENQUEUE_FWD,0,1001,1000,49,9,16777215,BCAST
140.7249536024,TX_FWD_ACK,0,1001,1000,49,9,16777215,BCAST
140.7249537116,ENQUEUE_FWD,0,1001,1000,45,9,16777215,BCAST
141.4863280841,TX_FWD_ACK,0,1001,1000,29,11,16777215,BCAST
141.5459842302,ENQUEUE_FWD,0,1001,1000,28,10,16777215,BCAST
141.5459842312,TX_FWD_ACK,0,1001,1000,28,10,16777215,BCAST
144.2124982891,TX_FWD_DATA,1,1000,1001,26,19,16777215,BCAST
144.2125037262,TX_FWD_DATA,1,1000,1001,20,19,16777215,BCAST
144.2721575883,RX_DST_PRE,1,1000,1001,1001,19,16777215,BCAST
144.2721575883,DELIVERED,1,1000,1001,1001,19,16777215,BCAST
144.2721575883,TX_ACK,1,1001,1000,1001,20,16777215,BCAST
144.3318088214,TX_FWD_ACK,1,1001,1000,19,19,16777215,BCAST
144.3318144251,ENQUEUE_FWD,1,1001,1000,13,19,16777215,BCAST
144.3914650479,ENQUEUE_FWD,1,1001,1000,26,18,16777215,BCAST
144.3914652133,ENQUEUE_FWD,1,1001,1000,18,18,16777215,BCAST
144.3914652143,TX_FWD_DATA,1,1000,1001,18,18,16777215,BCAST
144.3914666861,ACK_DELIVERED,1,1001,1000,1000,19,16777215,BCAST
144.4511214266,ENQUEUE_FWD,1,1000,1001,17,17,16777215,BCAST
144.4511216277,ENQUEUE_FWD,1,1000,1001,25,17,16777215,BCAST
144.4511216911,ENQUEUE_FWD,1,1000,1001,11,17,16777215,BCAST
144.4511216921,TX_FWD_DATA,1,1000,1001,11,17,16777215,BCAST
144.4511284006,TX_FWD_DATA,1,1000,1001,25,17,16777215,BCAST
144.4511291436,TX_FWD_ACK,1,1001,1000,12,19,16777215,BCAST
144.5107779921,ENQUEUE_FWD,1,1000,1001,10,16,16777215,BCAST
144.8090664866,TX_FWD_ACK,0,1001,1000,39,15,16777215,BCAST
144.8687228563,ENQUEUE_FWD,0,1001,1000,40,14,16777215,BCAST
144.868722982,ENQUEUE_FWD,0,1001,1000,46,14,16777215,BCAST
145.2721589547,TX_FWD_DATA,1,1000,1001,32,16,16777215,BCAST
145.2721593121,TX_FWD_ACK,0,1001,1000,40,14,16777215,BCAST
145.2721602763,TX_FWD_ACK,1,1001,1000,13,19,16777215,BCAST
145.3318154975,ENQUEUE_FWD,1,1000,1001,31,15,16777215,BCAST
145.3318154985,TX_FWD_DATA,1,1000,1001,31,15,16777215,BCAST
145.3318156582,ENQUEUE_FWD,0,1001,1000,41,13,16777215,BCAST
145.3318163959,ENQUEUE_FWD,1,1001,1000,6,18,16777215,BCAST
145.3318163969,TX_FWD_ACK,1,1001,1000,6,18,16777215,BCAST
145.3914715556,TX_FWD_ACK,0,1001,1000,38,14,16777215,BCAST
145.3914716983,ENQUEUE_FWD,1,1000,1001,30,14,16777215,BCAST
145.3914716993,TX_FWD_DATA,1,1000,1001,30,14,16777215,BCAST
145.3914718511,ENQUEUE_FWD,1,1000,1001,24,14,16777215,BCAST
145.3914718521,TX_FWD_DATA,1,1000,1001,24,14,16777215,BCAST
145.3914728704,ENQUEUE_FWD,1,1001,1000,5,17,16777215,BCAST
145.3914728714,TX_FWD_ACK,1,1001,1000,5,17,16777215,BCAST
145.4511280821,ENQUEUE_FWD,1,1000,1001,29,13,16777215,BCAST
145.4511290939,ENQUEUE_FWD,1,1001,1000,4,16,16777215,BCAST
145.4511290949,TX_FWD_ACK,1,1001,1000,4,16,16777215,BCAST
145.5107854119,ENQUEUE_FWD,1,1001,1000,11,15,16777215,BCAST
145.510785608,ENQUEUE_FWD,1,1001,1000,3,15,16777215,BCAST
145.6897537126,TX_FWD_ACK,0,1001,1000,45,9,16777215,BCAST
145.7494098141,TX_FWD_DATA,1,1000,1001,10,16,16777215,BCAST
145.7494099912,TX_FWD_ACK,0,1001,1000,46,14,16777215,BCAST
145.8090659569,ENQUEUE_FWD,1,1000,1001,3,15,16777215,BCAST
145.8090659579,TX_FWD_ACK,1,1001,1000,3,15,16777215,BCAST
145.8090660399,ENQUEUE_FWD,1,1000,1001,9,15,16777215,BCAST
145.8090661376,ENQUEUE_FWD,0,1001,1000,47,13,16777215,BCAST
145.8090662629,TX_FWD_DATA,1,1000,1001,17,17,16777215,BCAST
145.8687227718,ENQUEUE_FWD,1,1000,1001,16,16,16777215,BCAST
145.8687227728,TX_FWD_DATA,1,1000,1001,16,16,16777215,BCAST
145.92837902,ENQUEUE_FWD,1,1000,1001,15,15,16777215,BCAST
145.9283792868,ENQUEUE_FWD,1,1000,1001,23,15,16777215,BCAST
146.1528459432,TX_SRC,2,1000,1001,1000,20,16777215,BCAST
146.2124981419,ENQUEUE_FWD,2,1000,1001,27,19,16777215,BCAST
146.2124981429,TX_FWD_DATA,2,1000,1001,27,19,16777215,BCAST
146.2124982901,ENQUEUE_FWD,2,1000,1001,26,19,16777215,BCAST
146.212502664,ENQUEUE_FWD,2,1000,1001,34,19,16777215,BCAST
146.212502665,TX_FWD_DATA,2,1000,1001,34,19,16777215,BCAST
146.2125037272,ENQUEUE_FWD,2,1000,1001,20,19,16777215,BCAST
146.2125038079,ENQUEUE_FWD,2,1000,1001,19,19,16777215,BCAST
146.2721589796,TX_FWD_ACK,0,1001,1000,41,13,16777215,BCAST
146.3318152844,ENQUEUE_FWD,0,1001,1000,48,12,16777215,BCAST
146.3318152854,TX_FWD_ACK,0,1001,1000,48,12,16777215,BCAST
146.3318152932,ENQUEUE_FWD,0,1001,1000,34,12,16777215,BCAST
146.3914718516,TX_FWD_ACK,0,1001,1000,47,13,16777215,BCAST
146.5704407878,TX_FWD_DATA,1,1000,1001,15,15,16777215,BCAST
146.5704409805,TX_FWD_DATA,1,1000,1001,23,15,16777215,BCAST
146.6300970379,ENQUEUE_FWD,1,1000,1001,14,14,16777215,BCAST
146.6300970389,TX_FWD_DATA,1,1000,1001,14,14,16777215,BCAST
146.6897532686,ENQUEUE_FWD,1,1000,1001,21,13,16777215,BCAST
146.6897532696,TX_FWD_DATA,1,1000,1001,21,13,16777215,BCAST
146.6897535421,ENQUEUE_FWD,1,1000,1001,7,13,16777215,BCAST
146.6897535883,TX_FWD_DATA,1,1000,1001,9,15,16777215,BCAST
146.749409632,ENQUEUE_FWD,1,1000,1001,22,12,16777215,BCAST
146.7494098681,ENQUEUE_FWD,1,1000,1001,2,14,16777215,BCAST
146.7494099142,ENQUEUE_FWD,1,1000,1001,8,14,16777215,BCAST
146.8090663184,TX_FWD_DATA,1,1000,1001,7,13,16777215,BCAST
146.8687223723,TX_FWD_DATA,1,1000,1001,2,14,16777215,BCAST
146.8687227922,ENQUEUE_FWD,1,1000,1001,0,12,16777215,BCAST
146.9283784725,ENQUEUE_FWD,1,1000,1001,1,13,16777215,BCAST
147.4511280851,TX_FWD_DATA,1,1000,1001,29,13,16777215,BCAST
147.5107842312,ENQUEUE_FWD,1,1000,1001,28,12,16777215,BCAST
147.5107842322,TX_FWD_DATA,1,1000,1001,28,12,16777215,BCAST
147.5107844177,TX_FWD_DATA,1,1000,1001,22,12,16777215,BCAST
147.5107845001,ENQUEUE_FWD,1,1000,1001,36,12,16777215,BCAST
147.5107845011,TX_FWD_DATA,1,1000,1001,36,12,16777215,BCAST
147.5704407648,ENQUEUE_FWD,1,1000,1001,43,11,16777215,BCAST
147.5704407658,TX_FWD_DATA,1,1000,1001,43,11,16777215,BCAST
147.570441019,ENQUEUE_FWD,1,1000,1001,37,11,16777215,BCAST
147.630097088,ENQUEUE_FWD,1,1000,1001,42,10,16777215,BCAST
147.630097089,TX_FWD_DATA,1,1000,1001,42,10,16777215,BCAST
147.6300972624,TX_FWD_DATA,1,1000,1001,8,14,16777215,BCAST
147.6300972863,ENQUEUE_FWD,1,1000,1001,44,10,16777215,BCAST
147.6300972873,TX_FWD_DATA,1,1000,1001,44,10,16777215,BCAST
147.6897533247,ENQUEUE_FWD,1,1000,1001,35,9,16777215,BCAST
147.6897533257,TX_FWD_DATA,1,1000,1001,35,9,16777215,BCAST
147.6897535257,TX_FWD_DATA,1,1000,1001,1,13,16777215,BCAST
147.6897535764,TX_FWD_DATA,1,1000,1001,37,11,16777215,BCAST
147.6897536034,ENQUEUE_FWD,1,1000,1001,49,9,16777215,BCAST
147.6897536044,TX_FWD_DATA,1,1000,1001,49,9,16777215,BCAST
147.7494098446,TX_FWD_DATA,1,1000,1001,0,12,16777215,BCAST
150.1772982901,TX_FWD_ACK,1,1001,1000,26,18,16777215,BCAST
150.1773037272,TX_FWD_ACK,1,1001,1000,20,19,16777215,BCAST
150.236950637,ACK_DELIVERED,1,1001,1000,1000,18,16777215,BCAST
150.2369545578,ENQUEUE_FWD,1,1001,1000,25,17,16777215,BCAST
150.2369546362,ENQUEUE_FWD,1,1001,1000,33,17,16777215,BCAST
150.236954735,ENQUEUE_FWD,1,1001,1000,27,17,16777215,BCAST
150.2966088224,TX_FWD_DATA,2,1000,1001,19,19,16777215,BCAST
150.3562600545,RX_DST_PRE,2,1000,1001,1001,19,16777215,BCAST
150.3562600545,DELIVERED,2,1000,1001,1001,19,16777215,BCAST
150.3562600545,TX_ACK,2,1001,1000,1001,20,16777215,BCAST
150.3562651691,ENQUEUE_FWD,2,1000,1001,12,18,16777215,BCAST
