simTime,src,dst,seq,ttl,viaBefore,arrivalNode
615.765184472,1000,1001,38,18,16777215,1001
619.5862172001,1000,1001,36,18,16777215,1001
627.4209576693,1000,1001,16,12,16777215,1001
627.5754601395,1000,1001,17,11,16777215,1001
633.3857576703,1000,1001,13,10,16777215,1001
633.659584475,1000,1001,13,10,16777215,1001
639.5050601415,1000,1001,31,17,16777215,1001
639.624384476,1000,1001,40,18,16777215,1001
645.3153576723,1000,1001,28,16,16777215,1001
645.4698601425,1000,1001,46,19,16777215,1001
657.3994601445,1000,1001,47,19,16777215,1001
657.518784479,1000,1001,20,11,16777215,1001
661.3398172071,1000,1001,38,18,16777215,1001
663.3642601455,1000,1001,32,17,16777215,1001
669.1745576763,1000,1001,46,19,16777215,1001
669.448384481,1000,1001,42,18,16777215,1001
673.2694172091,1000,1001,39,18,16777215,1001
675.2938601475,1000,1001,48,19,16777215,1001
681.1041576783,1000,1001,47,19,16777215,1001
681.2586601485,1000,1001,49,19,16777215,1001
681.377984483,1000,1001,34,14,16777215,1001
687.0689576793,1000,1001,30,17,16777215,1001
687.2234601495,1000,1001,20,12,16777215,1001
693.0337576803,1000,1001,48,19,16777215,1001
693.307584485,1000,1001,43,18,16777215,1001
698.9985576813,1000,1001,25,15,16777215,1001
699.1530601515,1000,1001,34,15,16777215,1001
704.9633576823,1000,1001,31,17,16777215,1001
709.0582172151,1000,1001,41,18,16777215,1001
710.9281576833,1000,1001,49,19,16777215,1001
711.0826601535,1000,1001,51,19,16777215,1001
711.201984488,1000,1001,44,18,16777215,1001
722.8577576853,1000,1001,37,18,16777215,1001
726.9526172181,1000,1001,26,13,16777215,1001
732.9174172191,1000,1001,17,9,16777215,1001
734.7873576873,1000,1001,50,19,16777215,1001
734.9418601575,1000,1001,35,17,16777215,1001
735.061184492,1000,1001,16,6,16777215,1001
738.8822172201,1000,1001,42,18,16777215,1001
740.9066601585,1000,1001,52,19,16777215,1001
741.025984493,1000,1001,32,16,16777215,1001
746.990784494,1000,1001,30,16,16777215,1001
750.8118172221,1000,1001,37,17,16777215,1001
752.8362601605,1000,1001,53,19,16777215,1001
756.7766172231,1000,1001,43,18,16777215,1001
764.7658601625,1000,1001,36,17,16777215,1001
764.885184497,1000,1001,45,18,16777215,1001
770.7306601635,1000,1001,54,19,16777215,1001
774.6710172261,1000,1001,44,18,16777215,1001
776.5409576943,1000,1001,52,19,16777215,1001
780.6358172271,1000,1001,16,11,16777215,1001
782.6602601655,1000,1001,55,19,16777215,1001
794.5898601675,1000,1001,25,14,16777215,1001
798.5302172301,1000,1001,13,9,16777215,1001
800.5546601685,1000,1001,56,19,16777215,1001
800.673984503,1000,1001,31,16,16777215,1001
806.3649576993,1000,1001,54,19,16777215,1001
810.4598172321,1000,1001,45,18,16777215,1001
812.4842601705,1000,1001,37,17,16777215,1001
812.603584505,1000,1001,46,18,16777215,1001
816.4246172331,1000,1001,40,17,16777215,1001
818.2945577013,1000,1001,55,19,16777215,1001
822.3894172341,1000,1001,28,15,16777215,1001
824.4138601725,1000,1001,57,19,16777215,1001
830.2241577033,1000,1001,34,17,16777215,1001
830.497984508,1000,1001,47,18,16777215,1001
840.2838172371,1000,1001,29,16,16777215,1001
848.2730601765,1000,1001,58,19,16777215,1001
848.392384511,1000,1001,17,8,16777215,1001
852.2134172391,1000,1001,20,10,16777215,1001
854.2378601775,1000,1001,39,16,16777215,1001
860.0481577083,1000,1001,57,19,16777215,1001
860.321984513,1000,1001,25,13,16777215,1001
866.1674601795,1000,1001,38,17,16777215,1001
866.286784514,1000,1001,39,17,16777215,1001
870.1078172421,1000,1001,46,18,16777215,1001
872.251584515,1000,1001,48,18,16777215,1001
878.0970601815,1000,1001,59,19,16777215,1001
882.0374172441,1000,1001,47,18,16777215,1001
883.9073577123,1000,1001,35,17,16777215,1001
884.0618601825,1000,1001,60,19,16777215,1001
890.145984518,1000,1001,49,18,16777215,1001
895.8369577143,1000,1001,36,17,16777215,1001
895.9914601845,1000,1001,40,16,16777215,1001
899.9318172471,1000,1001,30,16,16777215,1001
901.8017577153,1000,1001,59,19,16777215,1001
901.9562601855,1000,1001,13,9,16777215,1001
907.9210601865,1000,1001,61,19,16777215,1001
911.8614172491,1000,1001,48,18,16777215,1001
913.7313577173,1000,1001,60,19,16777215,1001
914.005184522,1000,1001,40,2,16777215,1001
917.8262172501,1000,1001,25,14,16777215,1001
919.8506601885,1000,1001,42,15,16777215,1001
919.969984523,1000,1001,41,17,16777215,1001
925.934784524,1000,1001,51,18,16777215,1001
929.7558172521,1000,1001,49,18,16777215,1001
937.7450601915,1000,1001,62,19,16777215,1001
943.7098601925,1000,1001,16,7,16777215,1001
949.5201577233,1000,1001,62,19,16777215,1001
949.6746601935,1000,1001,63,19,16777215,1001
949.793984528,1000,1001,13,8,16777215,1001
955.4849577243,1000,1001,63,19,16777215,1001
955.758784529,1000,1001,20,9,16777215,1001
961.72358453,1000,1001,26,12,16777215,1001
967.5690601965,1000,1001,64,19,16777215,1001
973.3793577273,1000,1001,64,19,16777215,1001
973.653184532,1000,1001,35,16,16777215,1001
979.3441577283,1000,1001,38,17,16777215,1001
979.4986601985,1000,1001,65,19,16777215,1001
983.4390172611,1000,1001,32,15,16777215,1001
985.4634601995,1000,1001,43,15,16777215,1001
985.582784534,1000,1001,42,14,16777215,1001
991.4282602005,1000,1001,66,19,16777215,1001
