simTime,event,packetSeq,src,dst,currentNode,ttlAfterDecr,chosenVia,nextHopType
226.6353058882,ACK_DELIVERED,5,1001,1000,1000,13,1000,UNICAST
227.3656294073,TX_FWD_DATA,7,1000,1001,26,16,19,UNICAST
227.4203774157,TX_FWD_ACK,6,1001,1000,19,17,26,UNICAST
227.7159754657,TX_FWD_ACK,6,1001,1000,12,19,19,UNICAST
235.2258521579,TX_SRC,8,1000,1001,1000,20,16777215,BCAST
235.2855018077,RX_FWD_PRE,8,1000,1001,48,20,16777215,BCAST
235.2855018077,ENQUEUE_FWD,8,1000,1001,48,19,16777215,BCAST
235.2855080963,RX_FWD_PRE,8,1000,1001,47,20,16777215,BCAST
235.2855080963,ENQUEUE_FWD,8,1000,1001,47,19,16777215,BCAST
235.2855100629,RX_FWD_PRE,8,1000,1001,41,20,16777215,BCAST
235.2855100629,ENQUEUE_FWD,8,1000,1001,41,19,16777215,BCAST
235.3645652602,TX_FWD_DATA,8,1000,1001,47,19,40,UNICAST
235.4242214812,RX_FWD_PRE,8,1000,1001,40,19,40,UNICAST
235.4242214812,ENQUEUE_FWD,8,1000,1001,40,18,40,UNICAST
235.5404479872,TX_FWD_DATA,8,1000,1001,41,19,40,UNICAST
235.6001041086,RX_FWD_PRE,8,1000,1001,40,19,40,UNICAST
236.1352482157,TX_FWD_DATA,8,1000,1001,40,18,33,UNICAST
236.1407666248,TX_FWD_DATA,8,1000,1001,48,19,41,UNICAST
236.1949046104,RX_FWD_PRE,8,1000,1001,33,18,33,UNICAST
236.1949046104,ENQUEUE_FWD,8,1000,1001,33,17,33,UNICAST
236.4820517646,TX_FWD_DATA,8,1000,1001,33,17,26,UNICAST
236.5417081469,RX_FWD_PRE,8,1000,1001,26,17,26,UNICAST
236.5417081469,ENQUEUE_FWD,8,1000,1001,26,16,26,UNICAST
237.3304294123,TX_FWD_DATA,8,1000,1001,26,16,19,UNICAST
237.3900856755,RX_FWD_PRE,8,1000,1001,19,16,19,UNICAST
